method,model_classes,model_supports,model_planes,model_trained_planes,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,10,1,100,True,20,5,500,True,0.063,0.063,0.063
lsh_random,10,1,100,True,20,10,500,True,0.057,0.057,0.057
lsh_random,10,1,100,True,5,1,1000,True,0.202,0.202,0.202
lsh_random,10,1,100,True,5,5,1000,True,0.203,0.203,0.203
lsh_random,10,1,100,True,5,10,1000,True,0.194,0.194,0.194
lsh_random,10,1,100,True,10,1,1000,True,0.108,0.108,0.108
lsh_random,10,1,100,True,10,5,1000,True,0.102,0.102,0.102
lsh_random,10,1,100,True,10,10,1000,True,0.112,0.112,0.112
lsh_random,10,1,100,True,20,1,1000,True,0.048,0.048,0.048
lsh_random,10,1,100,True,20,5,1000,True,0.053,0.053,0.053
lsh_random,10,1,100,True,20,10,1000,True,0.046,0.046,0.046
lsh_random,10,2,100,True,5,1,100,True,0.184,0.184,0.184
lsh_random,10,2,100,True,5,5,100,True,0.204,0.204,0.204
lsh_random,10,2,100,True,5,10,100,True,0.21,0.21,0.21
lsh_random,10,2,100,True,10,1,100,True,0.097,0.097,0.097
lsh_random,10,2,100,True,10,5,100,True,0.094,0.094,0.094
lsh_random,10,2,100,True,10,10,100,True,0.086,0.086,0.086
lsh_random,10,2,100,True,20,1,100,True,0.051,0.051,0.051
lsh_random,10,2,100,True,20,5,100,True,0.054,0.054,0.054
lsh_random,10,2,100,True,20,10,100,True,0.033,0.033,0.033
lsh_random,10,2,100,True,5,1,200,True,0.201,0.201,0.201
lsh_random,10,2,100,True,5,5,200,True,0.199,0.199,0.199
lsh_random,10,2,100,True,5,10,200,True,0.216,0.216,0.216
lsh_random,10,2,100,True,10,1,200,True,0.11,0.11,0.11
lsh_random,10,2,100,True,10,5,200,True,0.106,0.106,0.106
lsh_random,10,2,100,True,10,10,200,True,0.111,0.111,0.111
lsh_random,10,2,100,True,20,1,200,True,0.044,0.044,0.044
lsh_random,10,2,100,True,20,5,200,True,0.046,0.046,0.046
lsh_random,10,2,100,True,20,10,200,True,0.057,0.057,0.057
lsh_random,10,2,100,True,5,1,500,True,0.208,0.208,0.208
lsh_random,10,2,100,True,5,5,500,True,0.18,0.18,0.18
lsh_random,10,2,100,True,5,10,500,True,0.207,0.207,0.207
lsh_random,10,2,100,True,10,1,500,True,0.084,0.084,0.084
lsh_random,10,2,100,True,10,5,500,True,0.12,0.12,0.12
lsh_random,10,2,100,True,10,10,500,True,0.101,0.101,0.101
lsh_random,10,2,100,True,20,1,500,True,0.047,0.047,0.047
lsh_random,10,2,100,True,20,5,500,True,0.049,0.049,0.049
lsh_random,10,2,100,True,20,10,500,True,0.051,0.051,0.051
lsh_random,10,2,100,True,5,1,1000,True,0.188,0.188,0.188
lsh_random,10,2,100,True,5,5,1000,True,0.221,0.221,0.221
lsh_random,10,2,100,True,5,10,1000,True,0.202,0.202,0.202
lsh_random,10,2,100,True,10,1,1000,True,0.086,0.086,0.086
lsh_random,10,2,100,True,10,5,1000,True,0.094,0.094,0.094
lsh_random,10,2,100,True,10,10,1000,True,0.1,0.1,0.1
lsh_random,10,2,100,True,20,1,1000,True,0.058,0.058,0.058
lsh_random,10,2,100,True,20,5,1000,True,0.055,0.055,0.055
lsh_random,10,2,100,True,20,10,1000,True,0.046,0.046,0.046
lsh_random,20,1,100,True,5,1,100,True,0.202,0.202,0.202
lsh_random,20,1,100,True,5,5,100,True,0.212,0.212,0.212
lsh_random,20,1,100,True,5,10,100,True,0.209,0.209,0.209
lsh_random,20,1,100,True,10,1,100,True,0.11,0.11,0.11
lsh_random,20,1,100,True,10,5,100,True,0.113,0.113,0.113
lsh_random,20,1,100,True,10,10,100,True,0.089,0.089,0.089
lsh_random,20,1,100,True,20,1,100,True,0.056,0.056,0.056
lsh_random,20,1,100,True,20,5,100,True,0.056,0.056,0.056
lsh_random,20,1,100,True,20,10,100,True,0.046,0.046,0.046
lsh_random,20,1,100,True,5,1,200,True,0.197,0.197,0.197
lsh_random,20,1,100,True,5,5,200,True,0.218,0.218,0.218
lsh_random,20,1,100,True,5,10,200,True,0.205,0.205,0.205
lsh_random,20,1,100,True,10,1,200,True,0.106,0.106,0.106
lsh_random,20,1,100,True,10,5,200,True,0.083,0.083,0.083
lsh_random,20,1,100,True,10,10,200,True,0.102,0.102,0.102
lsh_random,20,1,100,True,20,1,200,True,0.047,0.047,0.047
lsh_random,20,1,100,True,20,5,200,True,0.047,0.047,0.047
lsh_random,20,1,100,True,20,10,200,True,0.049,0.049,0.049
lsh_random,20,1,100,True,5,1,500,True,0.185,0.185,0.185
lsh_random,20,1,100,True,5,5,500,True,0.206,0.206,0.206
lsh_random,20,1,100,True,5,10,500,True,0.23,0.23,0.23
lsh_random,20,1,100,True,10,1,500,True,0.084,0.084,0.084
lsh_random,20,1,100,True,10,5,500,True,0.102,0.102,0.102
lsh_random,20,1,100,True,10,10,500,True,0.089,0.089,0.089
lsh_random,20,1,100,True,20,1,500,True,0.051,0.051,0.051
lsh_random,20,1,100,True,20,5,500,True,0.057,0.057,0.057
lsh_random,20,1,100,True,20,10,500,True,0.045,0.045,0.045
lsh_random,20,1,100,True,5,1,1000,True,0.202,0.202,0.202
lsh_random,20,1,100,True,5,5,1000,True,0.214,0.214,0.214
lsh_random,20,1,100,True,5,10,1000,True,0.203,0.203,0.203
lsh_random,20,1,100,True,10,1,1000,True,0.107,0.107,0.107
lsh_random,20,1,100,True,10,5,1000,True,0.106,0.106,0.106
lsh_random,20,1,100,True,10,10,1000,True,0.106,0.106,0.106
lsh_random,20,1,100,True,20,1,1000,True,0.052,0.052,0.052
lsh_random,20,1,100,True,20,5,1000,True,0
