method,model_classes,model_supports,testing_classes,testing_supports,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,10,5,500,10,10,True,0.092,0.092,0.092
lsh_one_rest,10,5,500,20,1,True,0.042,0.042,0.042
lsh_one_rest,10,5,500,20,5,True,0.057,0.057,0.057
lsh_one_rest,10,5,500,20,10,True,0.05,0.05,0.05
lsh_one_rest,20,2,500,5,1,True,0.54,0.527,0.546
lsh_one_rest,20,2,500,5,5,True,0.592,0.565,0.568
lsh_one_rest,20,2,500,5,10,True,0.551,0.591,0.692
lsh_one_rest,20,2,500,10,1,True,0.481,0.394,0.452
lsh_one_rest,20,2,500,10,5,True,0.536,0.423,0.531
lsh_one_rest,20,2,500,10,10,True,0.545,0.447,0.541
lsh_one_rest,20,2,500,20,1,True,0.37,0.229,0.337
lsh_one_rest,20,2,500,20,5,True,0.4,0.313,0.491
lsh_one_rest,20,2,500,20,10,True,0.336,0.206,0.359
lsh_one_rest,20,5,500,5,1,True,0.558,0.473,0.556
lsh_one_rest,20,5,500,5,5,True,0.688,0.588,0.652
lsh_one_rest,20,5,500,5,10,True,0.611,0.485,0.52
lsh_one_rest,20,5,500,10,1,True,0.574,0.436,0.481
lsh_one_rest,20,5,500,10,5,True,0.511,0.434,0.561
lsh_one_rest,20,5,500,10,10,True,0.387,0.353,0.416
lsh_one_rest,20,5,500,20,1,True,0.414,0.224,0.393
lsh_one_rest,20,5,500,20,5,True,0.468,0.375,0.5
lsh_one_rest,20,5,500,20,10,True,0.316,0.209,0.379
lsh_one_rest,20,5,100,5,1,True,0.435,0.461,0.542
lsh_one_rest,20,5,100,5,5,True,0.349,0.325,0.394
lsh_one_rest,20,5,100,5,10,True,0.436,0.517,0.471
lsh_one_rest,20,5,100,10,1,True,0.347,0.357,0.355
lsh_one_rest,20,5,100,10,5,True,0.339,0.223,0.343
lsh_one_rest,20,5,100,10,10,True,0.356,0.314,0.331
lsh_one_rest,20,5,100,20,1,True,0.31,0.136,0.133
lsh_one_rest,20,5,100,20,5,True,0.329,0.255,0.33
lsh_one_rest,20,5,100,20,10,True,0.259,0.193,0.297
