method,model_classes,model_supports,model_planes,model_trained_planes,testing_classes,testing_supports,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,6,5,500,False,2,5,True,0.532,0.532,0.532
lsh_one_rest,6,5,500,False,2,10,True,0.485,0.485,0.485
lsh_one_rest,6,5,500,False,4,1,True,0.257,0.257,0.257
lsh_one_rest,6,5,500,False,4,5,True,0.243,0.243,0.243
lsh_one_rest,6,5,500,False,4,10,True,0.252,0.252,0.252
lsh_one_rest,6,5,1000,False,2,1,True,0.5,0.5,0.5
lsh_one_rest,6,5,1000,False,2,5,True,0.522,0.522,0.522
lsh_one_rest,6,5,1000,False,2,10,True,0.478,0.478,0.478
lsh_one_rest,6,5,1000,False,4,1,True,0.274,0.274,0.274
lsh_one_rest,6,5,1000,False,4,5,True,0.256,0.256,0.256
lsh_one_rest,6,5,1000,False,4,10,True,0.251,0.251,0.251
lsh_one_rest,6,5,1000,True,2,1,True,0.523,0.523,0.523
lsh_one_rest,6,5,1000,True,2,5,True,0.497,0.497,0.497
lsh_one_rest,6,5,1000,True,2,10,True,0.527,0.527,0.527
lsh_one_rest,6,5,1000,True,4,1,True,0.264,0.264,0.264
lsh_one_rest,6,5,1000,True,4,5,True,0.258,0.258,0.258
lsh_one_rest,6,5,1000,True,4,10,True,0.231,0.231,0.231
lsh_one_rest,6,5,2000,True,2,1,True,0.499,0.499,0.499
lsh_one_rest,6,5,2000,True,2,5,True,0.515,0.515,0.515
lsh_one_rest,6,5,2000,True,2,10,True,0.498,0.498,0.498
lsh_one_rest,6,5,2000,True,4,1,True,0.249,0.249,0.249
lsh_one_rest,6,5,2000,True,4,5,True,0.255,0.255,0.255
lsh_one_rest,6,5,2000,True,4,10,True,0.258,0.258,0.258
lsh_one_rest,6,5,100,False,2,1,True,0.503,0.503,0.503
lsh_one_rest,6,5,100,False,2,5,True,0.503,0.503,0.503
lsh_one_rest,6,5,100,False,2,10,True,0.517,0.517,0.517
lsh_one_rest,6,5,100,False,4,1,True,0.239,0.239,0.239
lsh_one_rest,6,5,100,False,4,5,True,0.248,0.248,0.248
lsh_one_rest,6,5,100,False,4,10,True,0.246,0.246,0.246
lsh_one_rest,6,5,200,True,2,1,True,0.5,0.5,0.5
lsh_one_rest,6,5,200,True,2,5,True,0.476,0.476,0.476
lsh_one_rest,6,5,200,True,2,10,True,0.509,0.509,0.509
lsh_one_rest,6,5,200,True,4,1,True,0.286,0.286,0.286
lsh_one_rest,6,5,200,True,4,5,True,0.247,0.247,0.247
lsh_one_rest,6,5,200,True,4,10,True,0.277,0.277,0.277
lsh_one_rest,6,5,2000,False,2,1,True,0.505,0.505,0.505
lsh_one_rest,6,5,2000,False,2,5,True,0.511,0.511,0.511
lsh_one_rest,6,5,2000,False,2,10,True,0.477,0.477,0.477
lsh_one_rest,6,5,2000,False,4,1,True,0.24,0.24,0.24
lsh_one_rest,6,5,2000,False,4,5,True,0.256,0.256,0.256
lsh_one_rest,6,5,2000,False,4,10,True,0.257,0.257,0.257
