method,model_classes,model_supports,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,20,2,20,10,200,True,0.668,0.603,0.615
lsh_random,20,2,5,1,500,True,0.896,0.86,0.829
lsh_random,20,2,5,5,500,True,0.849,0.689,0.689
lsh_random,20,2,5,10,500,True,0.777,0.677,0.677
lsh_random,20,2,10,1,500,True,0.73,0.673,0.681
lsh_random,20,2,10,5,500,True,0.799,0.763,0.766
lsh_random,20,2,10,10,500,True,0.702,0.635,0.612
lsh_random,20,2,20,1,500,True,0.793,0.72,0.717
lsh_random,20,2,20,5,500,True,0.73,0.682,0.685
lsh_random,20,2,20,10,500,True,0.695,0.663,0.666
lsh_random,20,2,5,1,1000,True,0.788,0.747,0.747
lsh_random,20,2,5,5,1000,True,0.945,0.987,0.987
lsh_random,20,2,5,10,1000,True,0.636,0.595,0.595
lsh_random,20,2,10,1,1000,True,0.754,0.727,0.726
lsh_random,20,2,10,5,1000,True,0.848,0.828,0.831
lsh_random,20,2,10,10,1000,True,0.806,0.755,0.764
lsh_random,20,2,20,1,1000,True,0.724,0.725,0.731
lsh_random,20,2,20,5,1000,True,0.739,0.695,0.697
lsh_random,20,2,20,10,1000,True,0.796,0.803,0.803
lsh_random,10,5,5,1,100,True,0.854,0.781,0.798
lsh_random,10,5,5,5,100,True,0.821,0.86,0.886
lsh_random,10,5,5,10,100,True,0.684,0.611,0.592
lsh_random,10,5,10,1,100,True,0.826,0.693,0.7
lsh_random,10,5,10,5,100,True,0.874,0.527,0.557
lsh_random,10,5,10,10,100,True,0.826,0.616,0.612
lsh_random,10,5,20,1,100,True,0.721,0.483,0.488
lsh_random,10,5,20,5,100,True,0.698,0.457,0.465
lsh_random,10,5,20,10,100,True,0.678,0.455,0.468
lsh_random,10,5,5,1,200,True,0.907,0.708,0.713
lsh_random,10,5,5,5,200,True,0.853,0.874,0.874
lsh_random,10,5,5,10,200,True,0.689,0.743,0.766
lsh_random,10,5,10,1,200,True,0.816,0.666,0.666
lsh_random,10,5,10,5,200,True,0.657,0.511,0.52
lsh_random,10,5,10,10,200,True,0.819,0.709,0.721
lsh_random,10,5,20,1,200,True,0.599,0.5,0.503
lsh_random,10,5,20,5,200,True,0.758,0.668,0.665
lsh_random,10,5,20,10,200,True,0.666,0.592,0.598
lsh_random,10,5,5,1,500,True,0.867,0.762,0.777
lsh_random,10,5,5,5,500,True,0.835,0.916,0.904
lsh_random,10,5,5,10,500,True,0.879,0.833,0.826
lsh_random,10,5,10,1,500,True,0.847,0.847,0.851
lsh_random,10,5,10,5,500,True,0.621,0.504,0.504
lsh_random,10,5,10,10,500,True,0.816,0.742,0.742
lsh_random,10,5,20,1,500,True,0.612,0.515,0.531
lsh_random,10,5,20,5,500,True,0.584,0.546,0.539
lsh_random,10,5,20,10,500,True,0.55,0.529,0.523
lsh_random,10,5,5,1,1000,True,0.74,0.745,0.735
lsh_random,10,5,5,5,1000,True,0.854,0.824,0.824
lsh_random,10,5,5,10,1000,True,0.902,0.873,0.873
lsh_random,10,5,10,1,1000,True,0.644,0.608,0.608
lsh_random,10,5,10,5,1000,True,0.764,0.701,0.701
lsh_random,10,5,10,10,1000,True,0.893,0.906,0.906
lsh_random,10,5,20,1,1000,True,0.645,0.602,0.605
lsh_random,10,5,20,5,1000,True,0.68,0.734,0.734
lsh_random,10,5,20,10,1000,True,0.625,0.564,0.564
lsh_random,20,5,5,1,100,True,0.859,0.648,0.595
lsh_random,20,5,5,5,100,True,0.741,0.612,0.602
lsh_random,20,5,5,10,100,True,0.905,0.885,0.892
lsh_random,20,5,10,1,100,True,0.777,0.522,0.585
lsh_random,20,5,10,5,100,True,0.865,0.593,0.655
lsh_random,20,5,10,10,100,True,0.712,0.51,0.513
lsh_random,20,5,20,1,100,True,0.674,0.53,0.526
lsh_random,20,5,20,5,100,True,0.598,0.448,0.451
lsh_random,20,5,20,10,100,True,0.773,0.562,0.544
lsh_random,20,5,5,1,200,True,0.827,0.812,0.773
lsh_random,20,5,5,5,200,True,0.946,0.843,0.843
lsh_random,20,5,5,10,200,True,0.922,0.758,0.758
lsh_random,20,5,10,1,200,True,0.82,0.662,0.687
lsh_random,20,5,10,5,200,True,0.927,0.829,0.832
lsh_random,20,5,10,10,200,True,0.892,0.827,0.836
lsh_random,20,5,20,1,200,True,0.663,0.528,0.519
lsh_random,20,5,20,5,200,True,0.712,0.622,0.624
lsh_random,20,5,20,10,200,True,0.693,0.617,0.616
lsh_random,20,5,5,1,500,True,0.694,0.671,0.671
lsh_random,20,5,5,5,500,True,0.906,0.853,0.853
lsh_random,20,5,5,10,500,True,0.833,0.804,0.807
lsh_random,20,5,10,1,500,True,0.598,0.539,0.539
lsh_random,20,5,10,5,500,True,0.654,0.576,0.593
lsh_random,20,5,10,10,500,True,0.7,0.719,0.707
lsh_random,20,5,20,1,500,True,0.707,0.643,0.664
lsh_random,20,5,20,5,500,True,0.75,0.706,0.709
lsh_random,20,5,20,10,500,True,0.533,0.474,0.47
lsh_random,20,5,5,1,1000,True,0.944,0.847,0.847
lsh_random,20,5,5,5,1000,True,0.8,0.774,0.774
lsh_random,20,5,5,10,1000,True,0.935,0.928,0.934
lsh_random,20,5,10,1,1000,True,0.775,0.762,0.769
lsh_random,20,5,10,5,1000,True,0.707,0.693,0.712
lsh_random,20,5,10,10,1000,True,0.73,0.686,0.684
lsh_random,20,5,20,1,1000,True,0.769,0.723,0.715
lsh_random,20,5,20,5,1000,True,0.689,0.706,0.703
lsh_random,20,5,20,10,1000,True,0.726,0.684,0.687
