method,model_classes,model_supports,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,20,1,500,20,5,1000,True,0.435,0.263,0.326
lsh_random,20,1,500,20,10,1000,True,0.405,0.233,0.259
lsh_random,20,1,100,5,1,100,True,0.781,0.307,0.239
lsh_random,20,1,100,5,5,100,True,0.462,0.406,0.407
lsh_random,20,1,100,5,10,100,True,0.508,0.311,0.46
lsh_random,20,1,100,10,1,100,True,0.507,0.166,0.162
lsh_random,20,1,100,10,5,100,True,0.47,0.221,0.193
lsh_random,20,1,100,10,10,100,True,0.492,0.097,0.097
lsh_random,20,1,100,20,1,100,True,0.364,0.094,0.085
lsh_random,20,1,100,20,5,100,True,0.339,0.156,0.132
lsh_random,20,1,100,20,10,100,True,0.345,0.132,0.149
lsh_random,20,1,100,5,1,200,True,0.379,0.278,0.271
lsh_random,20,1,100,5,5,200,True,0.457,0.368,0.214
