method,model_classes,model_supports,model_period,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,6,2,100,4,1,100,True,0.305,0.279,0.279
lsh_random,6,2,100,4,5,100,True,0.369,0.37,0.37
lsh_random,6,2,100,4,10,100,True,0.415,0.318,0.317
lsh_random,6,2,100,2,1,200,True,0.651,0.567,0.567
lsh_random,6,2,100,2,5,200,True,0.568,0.637,0.636
lsh_random,6,2,100,2,10,200,True,0.608,0.663,0.662
lsh_random,6,2,100,4,1,200,True,0.251,0.257,0.257
lsh_random,6,2,100,4,5,200,True,0.353,0.308,0.309
lsh_random,6,2,100,4,10,200,True,0.321,0.311,0.31
lsh_random,6,2,100,2,1,500,True,0.586,0.586,0.587
lsh_random,6,2,100,2,5,500,True,0.583,0.569,0.569
lsh_random,6,2,100,2,10,500,True,0.677,0.656,0.651
lsh_random,6,2,100,4,1,500,True,0.374,0.321,0.32
lsh_random,6,2,100,4,5,500,True,0.259,0.221,0.221
lsh_random,6,2,100,4,10,500,True,0.367,0.341,0.344
lsh_random,6,2,100,2,1,1000,True,0.603,0.553,0.553
lsh_random,6,2,100,2,5,1000,True,0.619,0.584,0.584
lsh_random,6,2,100,2,10,1000,True,0.641,0.654,0.654
lsh_random,6,2,100,4,1,1000,True,0.33,0.307,0.307
lsh_random,6,2,100,4,5,1000,True,0.388,0.378,0.378
lsh_random,6,2,100,4,10,1000,True,0.388,0.349,0.348
lsh_random,6,1,500,2,1,100,True,0.587,0.672,0.672
lsh_random,6,1,500,2,5,100,True,0.543,0.581,0.581
lsh_random,6,1,500,2,10,100,True,0.606,0.666,0.666
lsh_random,6,1,500,4,1,100,True,0.367,0.336,0.336
lsh_random,6,1,500,4,5,100,True,0.347,0.283,0.283
lsh_random,6,1,500,4,10,100,True,0.416,0.345,0.347
lsh_random,6,1,500,2,1,200,True,0.659,0.655,0.655
lsh_random,6,1,500,2,5,200,True,0.61,0.601,0.597
lsh_random,6,1,500,2,10,200,True,0.718,0.704,0.704
lsh_random,6,1,500,4,1,200,True,0.29,0.263,0.263
lsh_random,6,1,500,4,5,200,True,0.375,0.37,0.369
lsh_random,6,1,500,4,10,200,True,0.414,0.36,0.361
lsh_random,6,1,500,2,1,500,True,0.586,0.606,0.606
lsh_random,6,1,500,2,5,500,True,0.679,0.677,0.677
lsh_random,6,1,500,2,10,500,True,0.563,0.612,0.612
lsh_random,6,1,500,4,1,500,True,0.319,0.293,0.292
lsh_random,6,1,500,4,5,500,True,0.391,0.387,0.387
lsh_random,6,1,500,4,10,500,True,0.37,0.373,0.373
lsh_random,6,1,500,2,1,1000,True,0.532,0.526,0.526
lsh_random,6,1,500,2,5,1000,True,0.64,0.631,0.632
lsh_random,6,1,500,2,10,1000,True,0.585,0.591,0.591
lsh_random,6,1,500,4,1,1000,True,0.29,0.297,0.297
lsh_random,6,1,500,4,5,1000,True,0.305,0.327,0.326
lsh_random,6,1,500,4,10,1000,True,0.404,0.392,0.393
lsh_random,6,5,100,2,1,100,True,0.519,0.519,0.519
lsh_random,6,5,100,2,5,100,True,0.507,0.507,0.507
lsh_random,6,5,100,2,10,100,True,0.496,0.496,0.496
lsh_random,6,5,100,4,1,100,True,0.282,0.282,0.282
lsh_random,6,5,100,4,5,100,True,0.26,0.26,0.26
lsh_random,6,5,100,4,10,100,True,0.242,0.242,0.242
lsh_random,6,5,100,2,1,200,True,0.528,0.528,0.528
lsh_random,6,5,100,2,5,200,True,0.493,0.493,0.493
lsh_random,6,5,100,2,10,200,True,0.499,0.499,0.499
lsh_random,6,5,100,4,1,200,True,0.267,0.267,0.267
lsh_random,6,5,100,4,5,200,True,0.257,0.257,0.257
lsh_random,6,5,100,4,10,200,True,0.249,0.249,0.249
lsh_random,6,5,100,2,1,500,True,0.523,0.523,0.523
lsh_random,6,5,100,2,5,500,True,0.506,0.506,0.506
lsh_random,6,5,100,2,10,500,True,0.471,0.471,0.471
lsh_random,6,5,100,4,1,500,True,0.25,0.25,0.25
lsh_random,6,5,100,4,5,500,True,0.265,0.265,0.265
lsh_random,6,5,100,4,10,500,True,0.223,0.223,0.223
lsh_random,6,5,100,2,1,1000,True,0.522,0.522,0.522
lsh_random,6,5,100,2,5,1000,True,0.509,0.509,0.509
lsh_random,6,5,100,2,10,1000,True,0.471,0.471,0.471
lsh_random,6,5,100,4,1,1000,True,0.254,0.254,0.254
lsh_random,6,5,100,4,5,1000,True,0.259,0.259,0.259
lsh_random,6,5,100,4,10,1000,True,0.239,0.239,0.239
lsh_random,6,5,500,2,1,100,True,0.658,0.619,0.619
lsh_random,6,5,500,2,5,100,True,0.59,0.662,0.661
lsh_random,6,5,500,2,10,100,True,0.657,0.586,0.585
lsh_random,6,5,500,4,1,100,True,0.289,0.268,0.268
lsh_random,6,5,500,4,5,100,True,0.415,0.311,0.309
lsh_random,6,5,500,4,10,100,True,0.42,0.341,0.342
lsh_random,6,5,500,2,1,200,True,0.651,0.639,0.639
lsh_random,6,5,500,2,5,200,True,0.638,0.598,0.598
lsh_random,6,5,500,2,10,200,True,0.634,0.667,0.667
lsh_random,6,5,500,4,1,200,True,0.3,0.319,0.32
lsh_random,6,5,500,4,5,200,True,0.424,0.388,0.387
lsh_random,6,5,500,4,10,200,True,0.377,0.316,0.314
lsh_random,6,5,500,2,1,500,True,0.466,0.527,0.529
lsh_random,6,5,500,2,5,500,True,0.489,0.402,0.403
lsh_random,6,5,500,2,10,500,True,0.675,0.672,0.672
lsh_random,6,5,500,4,1,500,True,0.161,0.236,0.236
lsh_random,6,5,500,4,5,500,True,0.372,0.348,0.348
lsh_random,6,5,500,4,10,500,True,0.403,0.372,0.37
lsh_random,6,5,500,2,1,1000,True,0.651,0.639,0.639
lsh_random,6,5,500,2,5,1000,True,0.668,0.653,0.653
lsh_random,6,5,500,2,10,1000,True,0.611,0.603,0.603
lsh_random,6,5,500,4,1,1000,True,0.329,0.274,0.273
lsh_random,6,5,500,4,5,1000,True,0.381,0.377,0.376
lsh_random,6,5,500,4,10,1000,True,0.474,0.432,0.429
