method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,model_planes,model_plane_training,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,20,5,1000,False,10,1,1000,1000,True,0.356,0.303,0.303
lsh_random,True,True,4,20,5,1000,False,10,2,1000,1000,True,0.231,0.213,0.213
lsh_random,True,True,4,20,5,1000,False,10,5,1000,1000,True,0.375,0.322,0.322
lsh_random,True,True,4,20,5,1000,False,10,10,1000,1000,True,0.384,0.318,0.317
lsh_random,True,True,4,20,5,1000,False,20,1,1000,1000,True,0.203,0.157,0.157
lsh_random,True,True,4,20,5,1000,False,20,2,1000,1000,True,0.205,0.183,0.183
lsh_random,True,True,4,20,5,1000,False,20,5,1000,1000,True,0.267,0.229,0.229
lsh_random,True,True,4,20,5,1000,False,20,10,1000,1000,True,0.256,0.221,0.221
lsh_random,True,True,4,20,5,1000,False,50,1,1000,1000,True,0.182,0.131,0.131
lsh_random,True,True,4,20,5,1000,False,50,2,1000,1000,True,0.131,0.097,0.097
lsh_random,True,True,4,20,5,1000,False,50,5,1000,1000,True,0.139,0.128,0.128
lsh_random,True,True,4,20,5,1000,False,50,10,1000,1000,True,0.124,0.13,0.13
lsh_random,True,True,4,20,5,1000,False,100,1,1000,1000,True,0.077,0.059,0.059
lsh_random,True,True,4,20,5,1000,False,100,2,1000,1000,True,0.063,0.054,0.055
lsh_random,True,True,4,20,5,1000,False,100,5,1000,1000,True,0.09,0.048,0.048
lsh_random,True,True,4,20,5,1000,False,100,10,1000,1000,True,0.104,0.064,0.064
lsh_random,True,True,4,20,5,1000,False,200,1,1000,1000,True,0.048,0.028,0.028
lsh_random,True,True,4,20,5,1000,False,200,2,1000,1000,True,0.05,0.025,0.025
lsh_random,True,True,4,20,5,1000,False,200,5,1000,1000,True,0.066,0.043,0.043
lsh_random,True,True,4,20,5,1000,False,200,10,1000,1000,True,0.054,0.034,0.034
lsh_random,True,True,4,20,5,1000,False,500,1,1000,1000,True,0.028,0.016,0.016
lsh_random,True,True,4,20,5,1000,False,500,2,1000,1000,True,0.031,0.021,0.021
lsh_random,True,True,4,20,5,1000,False,500,5,1000,1000,True,0.027,0.022,0.022
lsh_random,True,True,4,20,5,1000,False,500,10,1000,1000,True,0.053,0.029,0.029
lsh_random,True,True,4,20,5,1000,False,5,1,1250,1000,True,0.441,0.477,0.477
lsh_random,True,True,4,20,5,1000,False,5,2,1250,1000,True,0.393,0.506,0.506
lsh_random,True,True,4,20,5,1000,False,5,5,1250,1000,True,0.575,0.512,0.512
lsh_random,True,True,4,20,5,1000,False,5,10,1250,1000,True,0.501,0.533,0.497
